"The Troll Bridge (A Rock'n' Roll Fairy Tale, #2)",0765314266,9780765314260,3.45
"The Troll With No Heart in His Body and other Tales of Trolls, from Norway",0618354034,9780618354030,4.35
Gnomes,0517270730,9780517270738,4.02
Amazing Magnets (Question & Answer Books: Troll),0893758957,9780893758950,5.00
A Book Of Ogres And Trolls,0416672302,9780416672305,4.41
Stranger in Paradise,0373223730,9780373223732,3.62
Strangers in Paradise,0508401364,9780508401363,3.32
The Wild Wood,0553096303,9780553096309,4.01
Skis Against the Atom,0942323076,9780942323078,3.81
"Beyond Star Trek: From Alien Invasions to the End of Time (The Physics of Star Trek and Beyond, #2)",0060977574,9780060977573,3.85
Animalia,0333454448,9780333454442,4.27
All About Ghosts (The World of the Unknown),0884364690,9780884364696,3.83
"Raft (Xeelee Sequence, #1)",0586210911,9780586210918,3.68
"Flux (Xeelee Sequence, #3)",0006476201,9780006476207,3.65
The Baby Manual,1844250598,9781844250592,3.52
Consider Phlebas,0333454308,9780333454305,3.85
Consider Phlebas,0333441389,9780333441381,3.85
"That Anvil of Our Souls (Civil War at Sea, #3)",0671046829,9780671046828,4.00
"A Country of Our Own (Civil War at Sea, #2)",0671047418,9780671047412,4.00
"Hatteras Blue (Tiller Galloway, #1)",0312927495,9780312927493,3.82
"Fire on the Waters (Civil War at Sea, #1)",0671046810,9780671046811,3.71
"Winter in the Heart (Hemlock County, #2)",0812522982,9780812522983,3.74
"Teen Titans, Vol. 2: Family Lost",1401202381,9781401202385,3.75
"Teen Titans, Vol. 5: Life and Death",1401209785,9781401209780,3.79
Poetry for Young People: Henry Wadsworth Longfellow,0806994177,9780806994178,4.07
"The New Teen Titans Archives, Vol. 2",1563899515,9781563899515,4.27
"Orion's Hounds (Star Trek: Titan, #3)",141650950X,9781416509509,3.76
"The New Teen Titans Archives, Vol. 1",1563894858,9781563894855,4.15
"Louisiana Blue (Tiller Galloway, #3)",0312954220,9780312954222,3.74
"Down to a Sunless Sea (Tiller Galloway, #4)",0312964072,9780312964078,3.99
"The Dead of Winter (Hemlock County, #1)",0812507878,9780812507874,3.60
"The Threat (Dan Lenson, #9)",078616140X,9780786161409,3.72
The Only Thing to Fear,0812548159,9780812548150,3.65
"The Books of Magic, Volume 2: Summonings",1563892650,9781563892653,3.99
"The Books of Magic, Volume 1: Bindings",1563891875,9781563891878,4.09
"The Books of Magic, Volume 6: The Burning Girl",1563896192,9781563896194,4.07
"The Books of Magic, Volume 3: Reckonings",185286804X,9781852868048,4.02
Herbie Jones and The Monster Ball,0439318564,9780439318563,3.83
The Predators' Ball: The Inside Story of Drexel Burnham and the Rise of the Junk Bond Raiders,0140120904,9780140120905,4.00
Wandering,0224008048,9780224008044,4.02
An Independent Study Guide to Reading Latin,0521653738,9780521653732,3.80
The Best American Erotica 2005,0743258509,9780743258500,3.47
Where the Wild Things Are,0590600915,9780590600910,4.22
The Sirens of Titan,,,4.15
Essentials of Oceanography,0132401223,9780132401227,3.68
The Wig My Father Wore,0224040553,9780224040556,3.00
The Somme: Heroism and Horror in the First World War,0805081275,9780805081275,3.82
The First Day on the Somme,0140171347,9780140171341,4.20
Somme,0140178678,9780140178678,4.23
"The Soul of the Lion Witch, & the Wardrobe",0781442125,9780781442121,3.75
Narrative Poems,0156027984,9780156027984,3.66
"Out of the Silent Planet and Perelandra (Space Trilogy, #1 and #2)",0007117930,9780007117932,4.13
Vile Bodies,0141182873,9780141182872,3.83
Abundance,0060825391,9780060825393,3.72
Republic 1 (Bristol Greek Texts),1853992542,9781853992544,4.06
The Republic of Plato,1402189885,9781402189883,3.89
L.A. Noir,0892966866,9780892966868,3.93
"White Jazz (L.A. Quartet, #4)",0375727361,9780375727368,3.94
"The Secret of Shadow Ranch (Nancy Drew, #5)",000692526X,9780006925262,3.91
God's Brothel: The Extortion of Sex for Salvation,1930074131,9781930074132,3.55
"Deadly Quicksilver Lies (Garrett Files, #7)",0451453050,9780451453051,4.03
Quicksilver Rising (Dreamtime #1),0007141505,9780007141500,3.35
Give War a Chance,0330325361,9780330325363,3.84
Gogol's Wife and Other Stories,0811200809,9780811200806,3.86
Crisis of the House Divided: An Interpretatoin of the Issues in the Lincoln-Douglas Debates (Phoenix Paperback Series),0226391124,9780226391120,4.31
Running Unix So It Doesn't Run You,1562760610,9781562760618,0.00
Stonehenge Complete,0500284679,9780500284674,3.88
The Famished Road,0385425139,9780385425131,3.73
Infinite Riches,0753806800,9780753806807,3.70
The Kite Runner,1594489602,9781594489600,4.24
The Kingdom of the Wicked,0749006722,9780749006723,3.90
The French Lieutenant's Woman,0316189898,9780316189897,3.85
The Loneliness of the Long Distance Runner,0002245833,9780002245838,3.80
Every Day Of The Week: An Alan Sillitoe Reader,0491034156,9780491034159,0.00
Billy Liar / The Loneliness of the Long-Distance Runner,0582348854,9780582348851,4.33
College Writing Skills with Readings,0072381213,9780072381214,3.97
The Pugilist at Rest,0316473049,9780316473040,4.14
A Clockwork Orange,0434098000,9780434098002,3.97
Mildred Pierce,0752852043,9780752852041,3.93
The Getaway,0752864351,9780752864358,3.97
The Getaway,0491007833,9780491007832,3.97
Kurt Schwitter's Merzbau: The Cathedral of Erotic Misery,1568981368,9781568981369,3.61
The Intellectual Versus the City,0408211814,9780408211819,3.90
"His Mistress By Morning (Marlow, #1)",0060784024,9780060784027,3.72
"The Once-A-Mistress Wife (Secret Lives of Society Wives, #5)",0373767498,9780373767496,3.31
"The Defiant Mistress (City of Flames, #1)",0373294263,9780373294268,3.36
"The Rich Man's Royal Mistress (The Royal House of Illyria, #2)",0373125755,9780373125753,3.06
Mistress in Training,1933725222,9781933725222,3.65
"Rogue's Mistress (Dennehy Sisters, #2) (Zebra Lovegram)",0821754882,9780821754887,3.83
"Reluctant Mistress, Blackmailed Wife",0373125801,9780373125807,3.67
The Mistress of Murder Hill: The Serial Killings of Belle Gunness,075960665X,9780759606654,3.09
The Sicilian's Mistress,0373121393,9780373121397,3.67
The Longman Reader,0321481739,9780321481733,3.45
The Reader,0375408266,9780375408267,3.72
The Bedford Reader,0312433174,9780312433178,3.60
What Really Matters for Struggling Readers: Designing Research-Based Programs,0205443249,9780205443246,4.24
What Is History?,039470391X,9780394703916,3.85
The Lessons of Terror: A History of Warfare Against Civilians,0375508430,9780375508431,3.57
By Way of Deception,5552473140,9785552473144,3.87
Adventures in the Alaskan Skin Trade,0140092838,9780140092837,3.56
Adventures in the Skin Trade,0370309286,9780370309286,3.88
More Dylan Thomas Reads: Adventures in the Skin Trade/Quite Early One Morning/Other Poems,1559948442,9781559948449,5.00
Fresh Lies,067173704X,9780671737047,4.08
Song of the Cuckoo Bird,0345483154,9780345483157,3.69
Babyji,1400034566,9781400034567,3.38
Nineteen Eighty-Four,0451518659,9780451518651,4.13
A Reader's Manifesto: An Attack on the Growing Pretentiousness in American Literary Prose,0971865906,9780971865907,3.86
Producing and Directing the Short Film and Video,0240803949,9780240803944,3.72
GradeSaver(tm) ClassicNotes Angela's Ashes,1602590311,9781602590311,0.00
Trinity: A Novel of Ireland,0553128590,9780553128598,4.22
Touchdown for Tommy (Sports Classics),0316139823,9780316139823,3.69
Selected Works,0375410449,9780375410444,4.21
The Odyssey (Adaptation) (Oxford Illustrated Classics),0192741837,9780192741837,3.86
Quiet Odyssey,0295969695,9780295969695,4.11
Who Killed Homer: The Demise of Classical Education and the Recovery of Greek Wisdom,1893554260,9781893554269,3.90
The Odyssey,0977626997,9780977626991,3.71
The Odyssey of Homer (Oxford),0192750755,9780192750754,3.93
"Homer: Odyssey I, Books 1-12 (Loeb Classical Library, #104)",0674995619,9780674995611,4.53
The Odyssey of Homer (Great Courses #302),1565858425,9781565858428,4.41
Nectar in a Sieve,0451528239,9780451528230,3.61
"In at the Death (Settling Accounts, #4)",0345492471,9780345492470,3.99
"The Grapple (Settling Accounts, #3)",0345457250,9780345457257,3.93
"The Victorious Opposition (American Empire, #3)",0345444248,9780345444240,3.86
"Return Engagement (Settling Accounts, #1)",0345464052,9780345464057,3.83
"Breakthroughs (The Great War, #3)",0340715502,9780340715505,3.91
"Down to Earth (Colonization, #2)",0345430239,9780345430236,3.69
"In the Balance (Worldwar, #1)",034542056X,9780345420565,3.80
"In High Places (Crosstime Traffic, #3)",0765346273,9780765346278,3.62
"Second Contact (Colonization, #1)",0345430220,9780345430229,3.73
"Blood & Iron (American Empire, #1)",0345405668,9780345405661,3.83
"Krispos of Videssos (The Tale of Krispos, #2)",0345361199,9780345361196,3.78
Departures,0345380118,9780345380111,3.60
"Aftershocks (Colonization, #3)",0345430247,9780345430243,3.67
"Krispos Rising (The Tale of Krispos, #1)",0345361180,9780345361189,3.80
"Videssos Besieged (Time of Troubles, #4)",0345402995,9780345402998,3.83
"Jaws of Darkness (Darkness, #5)",074346852X,9780743468527,3.88
"The Thousand Cities (Time of Troubles , #3)",0345380495,9780345380494,3.74
"Advance and Retreat (War Between the Provinces, #3)",0743488202,9780743488204,3.47
"The Legion of Videssos (The Videssos Cycle, #3)",0345330692,9780345330697,3.90
"American Front (The Great War, #1)",0340715464,9780340715468,3.86
"Krispos the Emperor (The Tale of Krispos, #3)",0345380460,9780345380463,3.73
The History of the Decline and Fall of the Roman Empire (Volume V),040402825X,9780404028251,4.00
"Savage Pellucidar (Pellucidar, #7)",0803262647,9780803262645,3.74
"Tilting the Balance (Worldwar, #2)",0345420578,9780345420572,3.79
The History of the Decline and Fall of the Roman Empire,0870001981,9780870001987,3.95
The Decline and Fall of the Roman Empire,1857150953,9781857150957,3.95
The Best Time Travel Stories of the 20th Century,0345460944,9780345460943,3.80
"Upsetting the Balance (Worldwar, #3)",0345420586,9780345420589,3.77
"Darkness Descending (Darkness, #2)",0671033050,9780671033057,3.75
The Guns of the South,0345413660,9780345413666,3.95
"An Emperor for the Legion (The Videssos Cycle, #2)",0345330684,9780345330680,3.89
"Striking the Balance (Worldwar, #4)",0340684917,9780340684917,3.79
"Aftershocks (Colonisation, #3)",0340769106,9780340769102,3.67
"The Centre Cannot Hold (American Empire, #2)",0340820128,9780340820124,3.88
"Tilting the Balance (Worldwar, #2)",0340648996,9780340648995,3.79
"Swords of the Legion (The Videssos Cycle, #4)",0345330706,9780345330703,3.94
"The Victorious Opposition (American Empire, #3)",0340820144,9780340820148,3.86
The Best Military Science Fiction of the 20th Century,0345439899,9780345439895,3.77
Journey Through Hallowed Ground: The Official Guide to Where America Happened from Gettysburg to Monticello,1933102241,9781933102245,5.00
"Holy Image, Hallowed Ground: Icons from Sinai",089236856X,9780892368563,4.80
"Hallowed Ground (PI Julie Collins, #2)",1932815740,9781932815740,4.32
